brand,type,transmission,drivetype,fueltype,year,fueleconomy,kilometers,price,bodytype,doors,seats
Toyota,USED,Automatic,Front,Unleaded,2016,10.4,139637,31900,SUV, 4 Doors, 7 Seats
Toyota,USED,Manual,Front,Premium,2019,5.4,58185,33888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Diesel,2013,6.5,292134,14995,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Premium,2018,5.6,110047,29990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Unleaded,2016,10.6,98983,39280,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2015,8.5,155198,24950,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,9.1,128601,36888,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2021,7.2,51311,30888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Premium,2018,5.6,67615,32980,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,43534,25990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2015,7.4,119342,21888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Diesel,2013,6.5,165245,16995,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2017,7.4,89044,20995,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2015,7.4,130569,23400,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2018,8,72640,41990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Diesel,2016,5.8,112908,25990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2018,8.5,75113,38888,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Diesel,2017,5.8,123952,27996,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2017,7.4,138450,21995,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2016,6.6,265211,8990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Unleaded,2021,7.5,28785,54800,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,7.3,23363,29999,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,7.6,68037,22999,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2013,6.6,169051,16990,SUV, 4 Doors, 5 Seats
Toyota,USED,Manual,4WD,Diesel,2019,10.7,58422,97880,SUV, 2 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Unleaded,2018,8.5,54276,34990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2016,10.2,39653,36999,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Hybrid,2019,4.7,189119,33480,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2021,7.6,42773,28888,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,6.5,77123,37995,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2021,7.9,34126,89880,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,7,134158,24950,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2022,7.9,11647,116837,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2017,8.5,118937,29999,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2021,7.6,48932,27990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2015,6.6,94701,22776,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2016,7.4,137479,25990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2015,7.4,64280,20990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.6,21955,24990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Manual,Front,Unleaded,2015,7.6,65398,19990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,4.8,28438,52990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2013,7.5,160511,16880,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2017,9,159367,39990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2020,7.3,60411,28777,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,AWD,Unleaded,2022,8.1,7565,58480,SUV, 4 Doors, 7 Seats
Toyota,USED,Manual,AWD,Unleaded,2013,8.6,184608,19800,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2015,10.2,103316,29990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2017,6.8,63938,24950,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Unleaded,2017,8.5,114841,26990,SUV, 4 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2021,7.6,27283,29990,SUV, 4 Doors, 5 Seats
